,id,module,supermodule,dim_1,dim_2
92,ATP5IF1,25,1,1.43004697945879,3.78717980474381
93,SESN2,21,1,-0.696691211192149,3.02508387655167
94,MED18,25,1,0.337578121693593,2.77691946119217
95,SNHG3,17,1,-2.47378605219557,3.40697369665055
96,SNHG12,24,1,0.226129833729726,1.63121662229447
97,AL360012.1,16,1,4.06082171586321,1.59063062757401
98,AL009181.1,13,1,1.05858987954424,-0.281270348130186
99,EPB41,23,1,1.17374009278582,-2.16341879278274
100,SRSF4,21,1,-0.313665803401012,3.10761890500931
101,MECR,21,1,-0.703929122416515,3.65009293645767
102,PUM1,1,1,-2.47828882548048,0.905729509295504
103,PTP4A2,10,1,-1.12851661059095,1.84856329053787
104,KHDRBS1,12,1,3.22575074818895,-3.5217937460527
105,TXLNA,6,1,-1.45572441431715,3.61950526327042
106,ZBTB8OS,25,1,0.191603485615712,2.96173653692154
107,RBBP4,3,1,-2.827559169261,0.0175344714537069
108,YARS,6,1,-1.49954741808607,3.64170870870499
109,AK2,17,1,-2.26768701883985,3.05102906316666
110,AZIN2,18,1,-0.460132773844737,-1.51757433324905
111,A3GALT2,15,1,-0.25698059412672,-0.0155703654870585
112,AL513327.1,15,1,-0.0225531420393175,-0.0826605191812113
113,PHC2,19,1,-2.2123715243025,2.33472237676529
114,CSMD2,11,1,5.04916030553148,3.77093825429825
115,ZMYM6,3,1,-1.98103493067457,-0.659697987733801
116,ZMYM1,30,1,2.06613296654985,-0.0204242697343424
117,SFPQ,6,1,-1.43952816340162,2.95100746244339
118,ZMYM4,19,1,-2.08700626703932,2.70954904645828
119,KIAA0319L,29,1,0.470843140156727,2.55266938299088
120,NCDN,32,1,1.79549855378435,1.95184598058609
121,C1orf216,22,1,2.66368119803236,-0.685185514985044
122,CLSPN,9,1,-4.99575870844557,-1.29025360256286
123,AGO4,24,1,-0.311638530222911,1.38803372472672
124,AGO3,2,1,-0.126720603434581,2.67659816831497
125,THRAP3,6,1,-1.18769496294691,2.87303266614823
126,STK40,25,1,0.0687454381303603,3.24733195394425
127,CSF3R,13,1,1.06531972077654,0.0762516626730367
128,GNL2,6,1,-1.35882681223585,2.49873242467789
129,MTF1,6,1,-1.52378195139601,2.80984721273331
130,INPP5B,6,1,-0.90208500239088,2.88012251943497
131,AL139260.1,23,1,1.33108038094805,-1.58385028749557
132,MACF1,10,1,-1.12020104738905,1.94668445676712
133,AL356055.1,18,1,-0.270073111979503,-1.13523151784988
134,MFSD2A,21,1,-0.337754424540538,3.2784398564711
135,CAP1,25,1,0.77649051335619,3.58631358236221
136,PPT1,13,1,1.55531180289553,0.012631452979128
137,RLF,20,1,-1.99506538721754,-2.17645516306015
138,COL9A2,7,1,2.19199845579432,-1.71224352031799
139,SMAP2,8,1,0.828760925801259,-2.75093450456711
140,AL031985.4,12,1,2.99586147454546,-2.76770939737411
141,NFYC,2,1,-0.230181630579967,2.88819680303482
142,CTPS1,17,1,-2.15633028361036,3.4049366483107
143,SCMH1,24,1,-0.151978429286022,0.830541349352877
144,HIVEP3,19,1,-1.78963821741774,2.40300569623856
145,FOXJ3,1,1,-2.04260176035597,1.58975920766739
